title,text
Amazing della,It was a nice day. There are many activities for kids and adults as well.  Prasad was a good employing Della of archery The hospitality was excellent
Dogs in Small cages ,"The dogs are held in small cages with 2-3 dogs in each cage. They urinate there itself and keep barking and are in a lot of stress.Whenever a door of cage is opened to let one dog out for guest, the other dogs are desperate to come out and are very distressed.The dogs also have choking neck collars.Pathetic condition for the poor animals and the company blissfully claims itself to be animal lovers.Please improve the condition of the dogs, keep them in a separate enclosed area with some space to move!"
Worth Visiting,Adventure activities are good and cater for all age groups and consists of different levels of adventure.Please improve parking facility.
Good place for adventu,Please incorporate anniversary special in your adventure camp tickets section. More people would turn if you do.
Best place for adventure,What i like the most is rope activities.And support staff was good also the environment.GRE guys also very supportive.
HAD A AMAZING TIME,All the activities where really good. Had gone on a Monday so less crowd and could do all the activities without waiting. Would recommend going on a weekday (except Friday). And if you want to have more fun take the jumbo pass. Water and food is very expensive inside.
Nice,Please keep water filter every where and there is no dustbin in park. overall the adventure is awesome.
Not Worth of Money Being Charged,"All things in park to much costly, All ride's are payable. Receptionist are so rude and make us wait for an hour almost for getting in. Overall had a bad experience."
Must visit,"Kids enjoyed it. The rides were very nice. The kids loved walking with the dogs, they cherish that memory everyday. The staff is courteous and very  co-operative. Must visit place."
It’s very costly,I wish there were water cooler in few of the corners we had to buy water that was inconsiderate of them. I feel animals specially dogs with fur should be in kept in cold place. Also if every one gets a harness it’s so tiring to put one on and remove for every other activity. That would save tons of time.
very poor management,Della is totally mismanaged even in weekdays we had to wait for small small activities also .There was only one attendant  at each sports activity which creates lot of chaos . The team was not at all helpful. For each and every problem we had to go to reservation area as no proper deporting of staff.Also very very small small activities are also chargeable high inspite of huge entrance charges .
Great Fun,Amazing activities... Full of fun..Specially shotting range and had great time in net cricket with prasad
Dangling della adv park,Nice and wonderful  experience in this della adventure park.fullly enjoyed today.archery was best activity. Good hospitality.thanks to prasad and alok
A zone Della,Hospitality is very good staff gives quick responseThe best ride is swoop SwingMR.TJ guided me very nicely he helped me to upgrade the day pass to jumbo passThere are many activities for all age group We had a very great stay at Della camps.There is a best view and one of it's kind stay.
Atv and dirtbikes,I personally come here for the off-road Motorsports. They have a nice 250 meter dirt track and a wide collection of all tarrain automotives. The service is great when it comes to safety and hospitality. I personally really liked the service provided by the marshals; Sarang and Kavita. Have been here at least 6-7 times in the last 8 years and I'll be visiting often for sure.
ATV,It was amazing and great   kundan and kavita thanks to them good service.....enjoyed alot wil coem back
Sport Bar.,"Billiards table is well maintained and is being supervised by one of the best billiards coaches Ms. Lata and Ms. Nikhat. If you are a novice ND want to learn billiards, please request a session with these two brilliant individuals."
Wonderful adventure acrivities,Had great fun at della adventure activities.Staff is amazing and great guide to enjoy activity with proper safety.Alok kumar very nice staff at Cricket hub.
A zone Rocket izecter,It was a great ride and the knock out was awesome. Sujit kumar helped us to tell which rides are awesome and which to do first.
Sports,"Overall all activities are nice all staff are very friendly n helpful.Best games to play r virtually reality games,really burns the fats.And specially the staff member name nikhat Rana guided us very well through out every game.Well surely gonna come back soon"
ATV and Dirt Bike,Super awesome experience. buggy is a must ride.Dirt  bike was super awesome.Service was super duper by Kavita and Kundan.Thanks Kavita and Kundan...your guys are super sweet...
Great!,"Loved the sports activities and the adventure, especially liked cricket and other shooting activities. It was fun. Shout out to Prasad."
Amazing,Best place to visit with friends Nice hospitality... amazing sports Cricket sports is good Prasad is very kind nd nice guy
ATV,Kundan and Kavita were amazing instructors and the ride was excellent. They provide you with all safety accessories.
ATV adventure ,Nice and adventurous rides. Should experience atleast once.Kundan and kavita received us well and they guided till the end.
Amazing experience,Que was very long. Need to improve on coupon system. many restaurants but no synchronization among them. PS playing cricket was really a good experience. Thanks to Prasad.
Atv,Great experience for every activity and great service by Coordinator Kundan and Kavita .its lovely memory
A zone rocket ejector,"It was an incredible experience- the equipment, the staff, the organisation was second to none. Our guide Sujeet Kumar was a great host."
Della Adventure Shooting,"It was Good experience at della adventure, had fun came to shooting range and hit bulls eye. After hitting bulls eye received 20% discount as well."
Atv,Awesome experience.. must tryKundan and ishwar and kavita guided us well 👍👍 will recommend this ride
Atv,All rides were good.. specially the dirt bike . Had awesome experience on the dirt bike. ATV riding is also one of the best experience to have.Kavita and kundan hosted very well and instructed about riding the bikes pretty clear.
Atv,One of the best employees(kavita and kundan)best advisor and all atv's are  uptodate and its thrilling
Della adventure. C zone,Amazing adventure ... Best hospitality.. Staff was polite..all activities are superb.. Worthfull....
Atv,"three Dirt bike collection are awesome Nd the ride also fantasticStaff working there are humble and kind Kundan,Kavita,iswar are very good guide"
Della Adventure,Pros:Very nice resort. Fantastic Hospitality. Great adventure. Shooting range my favourite. Nirmal kumar explained properly and we managed to hit the bullseye. Also got 20% discount for Chikki store. Cons:No fan in the room. A/C is working but sometimes it’s better to have fans. Expensive. Poor internet connection. We all sometimes need connection for work.
Della shooting Range Adavanture 👍👍👍,Amazing experience in della had bulls eyes in shooting supportive staffTrainer nirmal kumar👍Good hospitality
ATV,"Very great experience. The staff very cooperative and helpful. Thanks to Omkar, Kundan, Vishal and Rajesh.Must recommended to visit."
Della shooting,It was a great experience as it was my first time and the guide really helped me a lot and taught me how to shoot and aim the bulls eye which I did. I got 20% off on Della stores and restaurant because of my bill eye shot. Nirmal the shooting trainer is great.
Atv,Crazy ride with Marshal KundanQuite adventurous rides out there and friendly service at della. Visiting again
Shooting Range,Nirmal Kumar trainer is very helpful and trained us well. It was fun to do the activity. He gave us coupon
ATV,Kundan was very helpful and clicks amazing pictures. There was lot of fun and enjoyed our ride. Must visit
Sports bar,The sports bar at della is amazing! There are a lot of fun indoor activities that one can try. The virtual dance is one of the most enjoyable activities here that you cannot miss! Special thanks to Nikhat and Lata for their friendly and helpful nature!
Della Advanture park ###@Nyc,Hello everybody...I got 20% diacp8nt at della resort coz of nirmal Kumar and his full help to teach me how to shoot and aim the target hillside.. Thanks kumar..n all the best...
ATV,It was an DELIGHTFUL day with family. Atv was an awesome ride. Mr kundan treated us so well. Thanks for ur team effort.
A Zone Rocket Ejector,"We had superrrrrrrrrrr amazing time here. All the activities are super adventurous, especially Rocket Ejector. One of the must go to ride. Land spring was also so much fun. Rope activities were was so cool. Kudos to all marshals !! They were so supportive and motivating and made sure guest are able to complete all activity. We really liked their service to core."
A zone,Mr. Tj helped me in rocket ejector and instructed me well in doing the activity and I enjoyed it very much and I did it againGRE Koshak Bala he also guided me well
Della Adventure $$$$Lonavala,Had an amazing time at the shooting range!We won a voucher for the bullseye shot. The shooting trainer was very supportive and encouraging!
Super awesome Della,It was a great exp visiting Della and all Jumbo aactivities were awesome.Cricket was also great and the host Prasad and Rudra were supportive and quite encouraging.Overall q great exp.
"ATV, Buggy rides","Kundan, Kavita Ishawar marshals at the ATV center were simply fabulous. Their commitment to make customer feel happy and safe was just great. They had great focus on safety and great professional attitude. Highly recommend !!!!"
ATV,It’s been very wonderful experience doing the ATV bike ride and buggy ride where we started the activity first in the morning . Though we dint knew how to operate the staff team Kundan And Kavita helped us understand it and do trial rounds and than let us drive without any hesitation and multiples times in a day .. it’s been one of the joyous ride we had in Della Adventure park !! Kudos to the team !!
Sports bar,"All the games in sports bar was good and enjoyable..staff were so helpful,we enjoyed playing carrom,air hockey, darts and fuss ball.sports bar staff marshal lata and GRE pradnya was so polite and helpfull.Thank you would love to visit again and again."
Sports bar,"Amazing amazing amazing... Best experience ever 😍must try della adventure .... Go for swoop swing flying fox most do it staff is very awsome lata and jyoti, nikhat vry nce thank you so much"
Sports bar,The ambience in sports bar is very nice...the staff is are very helpful in nature specifically the GRE namely Pradnya Tambe was very helpful in advising the rules of the pool table....
Sports bar,Della adventure park it's amazing experience I loved all activities specially sports bar activities and there guidance Great service from the sports bar team overall staff also great work  Wonderfull hospitality and nature   Better service  and best place for relaxation and enjoyment thank you speciall the sports bar member arohi and Jyoti and nikhat
A zone della knockout,"It was an amazing feel. Mr sujit and Tushar helps getting one of the best memorise. Memorable trip, must to visit this place"
Sports Bar,It's amazing the most try once you visit della .. thanks to mrs jyoti and team for support Had An amazing experience  at della I did it  first time adventure activities over here in adventure park  I wish to come again here in della  Thank you della and team Ousam  staff and overall  service excellent  goow work
ATV,"Nice experience with the activities, especially the dirt bikes and Kundan and Kavita. Booking was a pain. Entry staff is not hospitable."
Amazing games & very good staff,Enjoyed various games especially archery & cricket was awesome as instructor Alok was very supportive & trained propperly
ATV,Awesome ride and awesome service. Thank you Kundan. A must do at Della. Will for sure do it again in my next visit.
Adventure fun,The place is very thrilled and ma y people vist here and it's so good.i personally line the go karting
ATV,Amazing experience. Extremely hospitable staff and very helpful. This place is worth the visit.Special thanks to Kundan and Kavita.
ATV,"Kundan, Ishwar & Kavita were too good and very helpful. They have all clear instructions how to ride the ATV also they ensure safety of each individual. Will definitely give 5 star to three folks. Cheers"
Azone Rocket ejector,Its amazing.... The must try once you visit Della. Thanks to Mr. T.J. and Azone team for the amazing hospitality. They completely ensure your safety. Mr. Gre Kaushak was prompt to help.
Atv,Crazy good experience! Kundan and Kavita are your go to buddies for Quad Biking ! One of a kind! Must visit!
Rocket Ejector-AZone,"Had an amazing experience at Dela. Courteous and friendly staff. Especially rocket ejector, it was real fun. Tushar was great assist. I did it for the first time and it was out of the world like literally. :P"
Rocket ejector,You can enjoy a lot As I also done Nice experience.A very nice attendance TJ and very cooperate staff specially kaushik who guide us properly
Good hostility amazing places,"Nice experience,very amazing given service very good nice person Alok Kumar and prasad very helpful overall all activities nice"
Amazing Della,Awesome experience and activities. Food was also good. Prasad and Alok were good hosts for the activities.
Cricket was good,Nice instructor.     Alok and Prasad: you guys rock.I am writing because have to write 100 words. Zzzzzzz
Della Cricket and archery,Alok and Prasad are great to help to understand the process. Very cooperative and smart I'll say. Oberall its fun to be here from our busy office days.
Fun and Enjoyment,It’s a nice place to visit with a lot of fun and adventurous activities..U could really spend ur day well if u at Della...Alok Kumar and Prasad
Very nice place,very good experience in archery best place to visit Good hospitality and corporate staff cheers to prasad and alok
ATV and DIRT BIKE,We visited on my birthday to Della adventure Park only for the rides involved in the jumbo pack. I especially enjoyed the dirt biking and buggy ride. Kavita and Vishal guided us through the whole ride and hence made it very thrilling and enjoyable. The next best thing was the swoop swing which had a free fall of 100ft and I has a rush of adrenaline running through my veins.
Good  hospitality,Nice experience... Safe..... Like a real experience  over all activities  nice experience  ..............Alok Kumar and team
ATV,"Awesome experience, great service, wonderful behavior. Mr kundan & Miss Kavita served us very well. Just loved it ❤️"
Nice,Della adventure park is one of the best and beautifully place and it's such a huge park and great place it was lovely and exciting rides
Swoop,It was the incredible experience. Staff manners and service was too good. Swoop was mind blowing and thrilled. Sachin
